StateCode,State,population
AK, Alaska,"741,894"
AL, Alabama,"4,863,300"
AR, Arkansas,"2,988,248"
AS, American Samoa,"54,343"
AZ, Arizona,"6,931,071"
CA, California,"39,250,017"
CO, Colorado,"5,540,545"
CT, Connecticut,"3,576,452"
DC, DC,"681,170"
DE, Delaware,"952,065"
FL, Florida,"20,612,439"
GA, Georgia,"10,310,371"
GU, Guam,"161,785"
HI, Hawaii,"1,428,557"
IA, Iowa,"3,134,693"
ID, Idaho,"1,683,140"
IL, Illinois,"12,801,539"
IN, Indiana,"6,633,053"
KS, Kansas,"2,907,289"
KY, Kentucky,"4,436,974"
LA, Louisiana,"4,681,666"
MA, Massachusetts,"6,811,779"
MD, Maryland,"6,016,447"
ME, Maine,"1,331,479"
MI, Michigan,"9,928,301"
MN, Minnesota,"5,519,952"
MO, Missouri,"6,093,000"
MP, Northern Mariana Islands,"52,344"
MS, Mississippi,"2,988,726"
MT, Montana,"1,042,520"
NC, North Carolina,"10,146,788"
ND, North Dakota,"757,952"
NE, Nebraska,"1,907,116"
NH, New Hampshire,"1,334,795"
NJ, New Jersey,"8,944,469"
NM, New Mexico,"2,081,015"
NV, Nevada,"2,940,058"
NY, New York,"19,745,289"
OH, Ohio,"11,646,273"
OK, Oklahoma,"3,923,561"
OR, Oregon ,"4,093,465"
PA, Pennsylvania,"12,784,227"
PR, Puerto Rico,"3,411,307"
RI, Rhode Island,"1,056,426"
SC, South Carolina,"4,961,119"
SD, South Dakota,"865,454"
TN, Tennessee,"6,651,194"
TX, Texas,"27,862,596"
UT, Utah,"3,051,217"
VA, Virginia,"8,411,808"
VI, U.S. Virgin Islands,"103,574"
VT, Vermont,"624,594"
WA, Washington,"7,288,000"
WI, Wisconsin,"5,778,708"
WV, West Virginia,"1,831,102"
WY, Wyoming,"585,501"
